origem,destino,score_passeio,custo_total,tempo_total
Mosteiro de São Bento,BioParque do Rio,0.3,60.2,199.78333333333333
Mosteiro de São Bento,Maracanã,0.25,83.6,113.7
Mosteiro de São Bento,Restaurante Spesso,0.1,72.2,51.78333333333333
Santa Teresa,Hotel,0.0,0.0,3.6166666666666663
Santa Teresa,Cristo Redentor,0.01,132.3,172.36666666666667
Santa Teresa,Jardim Botânico,0.2,27.3,156.35
Santa Teresa,CCBB,0.25,0.0,168.3
Santa Teresa,Museu do Amanhã,0.15,30.0,120.08333333333333
Santa Teresa,Pão de Açúcar,0.05,202.5,111.48333333333332
Santa Teresa,AquaRio,0.3,124.3,145.56666666666666
Santa Teresa,Theatro Municipal,0.15,20.0,93.83333333333333
Santa Teresa,Parque dos Patins,0.2,34.3,111.11666666666667
Santa Teresa,Mosteiro de São Bento,0.3,0.0,53.43333333333334
Santa Teresa,Forte de Copacabana,0.2,10.3,140.08333333333331
Santa Teresa,BioParque do Rio,0.3,55.9,207.36666666666667
Santa Teresa,Maracanã,0.25,79.3,116.0
Santa Teresa,Restaurante Spesso,0.1,75.4,22.3
Forte de Copacabana,Hotel,0.0,4.3,83.78333333333333
Forte de Copacabana,Cristo Redentor,0.01,132.3,204.2166666666667
Forte de Copacabana,Jardim Botânico,0.2,27.3,169.71666666666667
Forte de Copacabana,CCBB,0.25,4.3,229.9
Forte de Copacabana,Museu do Amanhã,0.15,34.3,182.81666666666666
Forte de Copacabana,Pão de Açúcar,0.05,199.3,116.46666666666667
Forte de Copacabana,AquaRio,0.3,128.6,188.38333333333333
Forte de Copacabana,Theatro Municipal,0.15,24.3,172.51666666666665
Forte de Copacabana,Parque dos Patins,0.2,38.6,140.55
Forte de Copacabana,Mosteiro de São Bento,0.3,4.3,115.15
Forte de Copacabana,Santa Teresa,0.1,24.3,206.75
Forte de Copacabana,BioParque do Rio,0.3,55.9,265.23333333333335
Forte de Copacabana,Maracanã,0.25,79.3,194.15
Forte de Copacabana,Restaurante Spesso,0.1,72.2,48.78333333333333
BioParque do Rio,Hotel,0.0,4.3,50.85
BioParque do Rio,Cristo Redentor,0.01,136.6,188.2
BioParque do Rio,Jardim Botânico,0.2,31.6,168.66666666666666
BioParque do Rio,CCBB,0.25,8.6,184.58333333333334
BioParque do Rio,Museu do Amanhã,0.15,38.6,138.61666666666667
BioParque do Rio,Pão de Açúcar,0.05,203.6,158.31666666666666
BioParque do Rio,AquaRio,0.3,124.3,119.55
BioParque do Rio,Theatro Municipal,0.15,28.6,132.38333333333333
BioParque do Rio,Parque dos Patins,0.2,38.6,123.43333333333334
BioParque do Rio,Mosteiro de São Bento,0.3,8.6,71.38333333333333
BioParque do Rio,Santa Teresa,0.1,24.3,167.51666666666665
BioParque do Rio,Forte de Copacabana,0.2,10.3,166.91666666666669
BioParque do Rio,Maracanã,0.25,75.0,74.05
BioParque do Rio,Restaurante Spesso,0.1,76.5,53.66666666666666
Maracanã,Hotel,0.0,8.6,66.01666666666667
Maracanã,Cristo Redentor,0.01,132.3,211.25
Maracanã,Jardim Botânico,0.2,31.6,189.06666666666666
Maracanã,CCBB,0.25,8.6,204.98333333333332
Maracanã,Museu do Amanhã,0.15,38.6,159.01666666666665
Maracanã,Pão de Açúcar,0.05,203.6,178.7166666666667
Maracanã,AquaRio,0.3,128.6,165.15
Maracanã,Theatro Municipal,0.15,28.6,152.78333333333333
Maracanã,Parque dos Patins,0.2,38.6,143.83333333333331
Maracanã,Mosteiro de São Bento,0.3,8.6,91.78333333333333
Maracanã,Santa Teresa,0.1,28.6,180.1
Maracanã,Forte de Copacabana,0.2,10.3,163.91666666666669
Maracanã,BioParque do Rio,0.3,51.6,179.08333333333331
Maracanã,Restaurante Spesso,0.1,76.5,74.06666666666666
Restaurante Spesso,Hotel,0.0,4.3,39.15
Restaurante Spesso,Cristo Redentor,0.01,128.0,141.45
Restaurante Spesso,Jardim Botânico,0.2,27.3,140.6
Restaurante Spesso,CCBB,0.25,4.3,187.01666666666665
Restaurante Spesso,Museu do Amanhã,0.15,38.6,145.8
Restaurante Spesso,Pão de Açúcar,0.05,195.0,89.6
Restaurante Spesso,AquaRio,0.3,128.6,153.8
Restaurante Spesso,Theatro Municipal,0.15,24.3,129.93333333333334
Restaurante Spesso,Parque dos Patins,0.2,34.3,95.36666666666667
Restaurante Spesso,Mosteiro de São Bento,0.3,4.3,75.33333333333334
Restaurante Spesso,Santa Teresa,0.1,24.3,164.16666666666666
Restaurante Spesso,Forte de Copacabana,0.2,10.3,116.61666666666667
Restaurante Spesso,BioParque do Rio,0.3,60.2,210.66666666666666
Restaurante Spesso,Maracanã,0.25,79.3,131.43333333333334
